scheduler,scheduler_family,variant,scenario,run_tag,makespan,total_energy,total_carbon,green_ratio,green_energy,brown_energy,avg_utilization,flowtime_sum,n_tasks,unfinished_tasks,scheduler_wallclock_s,scheduler_calls,dispatch_count,event_count,recluster_count,decision_budget_ms,candidate_cap,frontier_cap,task_release_random,task_release_T,w1,w2,w3,w4,workflow,family,instance,instance_scale_tag,seed,trace_path,success,budget_tag,weight_tag,study_group
ECDS,ecds,full,dynamic,ecds_budget_ref,113.694089743587,1220.6275563008624,397.5156441767717,0.44867004742788336,547.6590235772893,672.9685327235212,0.8795074948222197,232734.1303413444,3472,0,1.3551175999455154,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,113.50494999999981,1134.2107997001685,390.88106715871146,0.41074352798962727,465.8697453527837,668.3410543473967,0.7907967011486013,231587.6434333328,3472,0,4.9936105001252145,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,111.64892307692303,1177.958925827055,392.2498420810352,0.43401779386218414,511.25513424772663,666.7037915793451,0.8501652009773921,226310.08912532,3472,0,14.681929599959403,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,111.67226923076899,1176.0985612869963,391.2452040616469,0.43467276138234634,511.2180092924234,664.880551994585,0.8480510829996198,225999.32801955089,3472,0,42.786944000050426,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,111.42711538461543,1187.4509592393085,392.55946906597364,0.43881990492065365,521.0771170313324,666.3738422079957,0.8618983767847569,224966.74133076862,3472,0,30.734185899840668,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,111.41855000000001,1187.907766356567,392.9485794879919,0.438419041247314,520.8013840162844,667.1063823403072,0.8624329705392839,224569.53519968057,3472,0,70.27377160009928,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,115.85881570512565,1217.5821387239462,395.8781197661946,0.44973073737573543,547.5841130638453,669.9980256600629,0.8596089265144026,242418.39227499792,3472,0,0.4858699000906199,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,115.13219999999973,1139.207164608847,388.63262171913954,0.417713873661293,475.86263763145973,663.3445269773927,0.785986631299057,237282.3305320517,3472,0,1.1115049999207258,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,113.93256250000005,1165.150152010568,388.4753750153311,0.43317542920117735,504.7144171809948,660.4357348295816,0.8201119054218838,235038.670741026,3472,0,3.1016605999320745,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,114.09465384615378,1167.5373943043996,388.64175392939,0.4342538648863998,507.00762587608205,660.5297684283303,0.8221348234899976,234027.1523387817,3472,0,8.874199699843302,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,113.4737499999998,1176.8404078207975,389.3650625323599,0.43828740083230244,515.7943235382041,661.0460842826187,0.8359571731121553,232770.57507596162,3472,0,26.103070500073954,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,113.52469230769229,1177.3997937468898,389.3545435830815,0.43861965043496626,516.4306859554622,660.9691077914529,0.8361572346849606,232645.17353044788,3472,0,72.22848779987544,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,115.50203846153576,1206.1252118760033,394.6756270879027,0.445547836656063,537.3864788876889,668.738732988266,0.8505005173762843,236358.04402531794,3472,0,0.4860032999422401,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,115.52954999999976,1128.153231164623,388.94913169272365,0.4104675482936118,463.0702908956591,665.0829402689781,0.7707668966455538,234854.50882852604,3472,0,1.1004192000254989,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,114.22234615384616,1163.0873408220077,388.6990840840889,0.4316080909119683,501.9979067360645,661.0894340859538,0.8150358968669078,230487.75016634652,3472,0,3.019889999879524,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,114.31415384615366,1162.0576810981647,388.3281160255015,0.4316543191582148,501.60721715700214,660.4504639411768,0.8143492999750692,231040.84300737263,3472,0,8.701434900052845,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,113.34462499999998,1178.361936124291,390.21393526721056,0.4377010521052152,515.7702592023406,662.5916769219731,0.8375835242716033,228209.90255705218,3472,0,25.67540970002301,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,113.50959999999995,1178.2863958512487,390.16129787617456,0.43774793759833674,515.7924396840615,662.4939561672076,0.8360623200084437,228273.59813685928,3472,0,70.59057600004598,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,3,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,114.25062692307431,1216.201900380081,398.02575052730106,0.4454610613534246,541.7705893633629,674.431311016666,0.870892654600733,234651.61698044723,3472,0,0.49259190005250275,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,113.95988461538452,1137.9798871346272,390.0722761493565,0.4144478552577438,471.63332354939564,666.3465635852433,0.7925621143281131,233301.83183525677,3472,0,1.1113738999702036,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,112.53392307692305,1165.4511164892792,390.70241334419785,0.4295258671661829,500.5914014498537,664.8597150394424,0.8305082347106422,230098.24873685976,3472,0,3.083028200082481,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,112.76054999999992,1167.0915804131637,390.7970459743124,0.43030611730408735,502.2066465058795,664.8849339073013,0.8312068657820335,229108.96018846086,3472,0,8.791536500211805,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,112.30457692307692,1179.4106514156856,392.10511606470385,0.43508296606610314,513.1414844278913,666.2691669878188,0.8470472265240901,228488.54958365436,3472,0,26.48006259999238,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,112.20589999999997,1179.552351541151,392.4250408600807,0.4346203916302087,512.6575049751486,666.8948465660263,0.8482314312691761,228446.42243269243,3472,0,73.7480355000589,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,4,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,111.18812820512603,1225.3722621041463,400.6428145087834,0.44608799807353766,546.6238592968809,678.7484028072137,0.9046715447133384,223762.14039038308,3472,0,0.4885937001090497,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,111.97576923076892,1133.1641480715607,393.30122986624156,0.4058353804511773,459.878103146256,673.286044925322,0.8008616307929363,224060.49925833408,3472,0,1.0944622000679374,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,110.57811538461536,1159.3336577367945,394.0351573540069,0.4202385616523808,487.1967088025041,672.1369489343103,0.8391974103206723,220677.4221019229,3472,0,3.045836899895221,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,110.53726923076916,1167.1769905707374,395.5151433938062,0.4222704926690116,492.8644028402396,674.3125877305174,0.8496507316333783,219338.11326730798,3472,0,8.533071199897677,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,110.35399999999997,1179.9182697324288,398.2207852516158,0.4250027642306238,501.468526202497,678.4497435299597,0.8640637920976263,218370.99896442442,3472,0,26.374392699915916,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,110.48218749999998,1178.7502172383927,397.99984380633737,0.42470876698753984,500.62555134961246,678.124665888805,0.8619606496928487,218499.0112509619,3472,0,73.8880648999475,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,5,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,100.02646153846153,51.728174134198746,22.35289865708013,0.23575535842073717,12.19519423345833,39.53297990074034,0.03431759171355169,5063.5783253205145,81,0,0.01632430008612573,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,100.02646153846153,49.97492372169871,21.80669049974119,0.22729469598878468,11.359035094386211,38.615888627312465,0.030885937282108884,5061.140262500003,81,0,0.037464499939233065,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,100.02646153846153,49.967272842964746,21.80360513302204,0.22728456477720588,11.356789861217141,38.61048298174756,0.030835768666470798,5061.108129807695,81,0,0.06366490013897419,81,81,81,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,100.02646153846153,49.89688185291668,21.7965641783742,0.22633561982390252,11.29344168145993,38.60344017145669,0.03078212540937883,5061.315245512823,81,0,0.04699219996109605,81,81,81,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,100.02646153846153,49.89682989541667,21.7965420964367,0.2263355951822162,11.29342869208493,38.603401203331686,0.030782344101509544,5061.315770512823,81,0,0.04939220007508993,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,100.02646153846153,49.920551978750005,21.806623981853367,0.2263468404301325,11.299359212918263,38.62119276583169,0.030823999745451965,5061.232437179489,81,0,0.04985710000619292,81,81,81,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,1,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,99.794875,49.917819473541705,21.213231375113384,0.2500737973397576,12.483138670669073,37.434680802872535,0.032402549062096914,5157.091623076925,81,0,0.01731560006737709,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,98.57453846153845,49.80531447009615,21.377685936149042,0.2415500067172743,12.030474044807685,37.774840425288396,0.02972820401820094,5155.1167057692355,81,0,0.039834899827837944,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,98.57453846153845,49.771533143766035,21.363328872458737,0.24154427147139096,12.022028713225156,37.7495044305408,0.0296527091987138,5155.067609294875,81,0,0.05784989986568689,81,81,81,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,98.59807692307692,49.76185041544873,21.35921371292388,0.24154262614427022,12.019608031145829,37.74224238430282,0.029641806121719138,5155.199673717952,81,0,0.04663070011883974,81,81,81,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,98.59807692307692,49.741242475865384,21.35045533860096,0.24153912222999757,12.014456046249997,37.72678642961532,0.02963060745840719,5155.233902884618,81,0,0.048794100061059,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,98.59807692307692,49.741242475865384,21.35045533860096,0.24153912222999757,12.014456046249997,37.72678642961532,0.02963060745840719,5155.233902884618,81,0,0.048557200003415346,81,81,81,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,101.14673076923076,50.10748233669876,21.43224757350561,0.24454901447688038,12.253735423357373,37.85374691334129,0.03090407777416532,5405.108338782057,81,0,0.01211329991929233,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,101.14673076923076,49.75204571958332,21.445811087606575,0.237892290561025,11.835628116328516,37.916417603254764,0.028725790438997815,5404.721854487187,81,0,0.03581949998624623,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,very_low,w_50_30_20_00,budget
