family,workflow,instance,instance_scale_tag,scheduler,budget_tag,decision_budget_ms,candidate_cap,frontier_cap,instance_label,runtime_mean,runtime_std,makespan_mean,makespan_std,total_energy_mean,total_energy_std,total_carbon_mean,total_carbon_std,brown_energy_mean,brown_energy_std,green_ratio_mean,green_ratio_std,n_runs
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,ECDS,ecds_ref,0.0,0,0,Epigenomics-100k,0.014630740042775819,0.002419551985821991,99.87950576923076,0.7961221377348858,50.26005228788786,0.8323701704053379,21.94397942252139,0.600106277696145,38.86195361625396,1.1805004471223453,0.22667702203545187,0.024517256947033054,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,MOHEFT,high,100.0,64,12,Epigenomics-100k,0.05800426001660523,0.0183745165570233,99.6416846153846,0.9882939578088218,49.68444445325,0.18037838290345828,21.86842447641346,0.5171350028257189,38.76840450750188,1.0398362737779028,0.2196798500861507,0.02199722838907771,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,MOHEFT,low,20.0,16,6,Epigenomics-100k,0.05779177998192601,0.005345067223852489,99.6394,0.999169553700177,49.71379540729807,0.20144574048925812,21.876629717051845,0.5178404379475733,38.78187989337384,1.0413447941606022,0.21986698954397124,0.022081585548216157,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,MOHEFT,medium,50.0,32,8,Epigenomics-100k,0.04664333998225624,0.006345718472118941,99.6416846153846,0.9882939578088218,49.68528390856411,0.18456071915080666,21.868781244921955,0.515619712754003,38.76903409898746,1.0371218570549001,0.2196789443018056,0.02199852977924754,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,MOHEFT,very_high,200.0,128,20,Epigenomics-100k,0.059063280047848776,0.020328147374963447,99.64245384615384,0.9897661431102444,49.68863742653526,0.18751402559168023,21.870206490059694,0.5170736253508476,38.77154923746582,1.0396338553707063,0.21968197652756266,0.02199789962608489,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,MOHEFT,very_low,5.0,8,4,Epigenomics-100k,0.038391299964860036,0.001710063075366911,99.63543846153846,0.9916116788328139,49.735905909692306,0.19353362340207092,21.877688813254807,0.5083973134941481,38.781787035540354,1.0250831430213119,0.2202081912796971,0.02211671094398748,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,ECDS,ecds_ref,0.0,0,0,Montage-05d,0.6616352800279856,0.38767797266092585,114.09873980768975,1.852402868425051,1217.181813877008,7.112058795913837,397.3475912133907,2.2718592078990456,672.977001039146,3.945293967875937,0.4470995361773288,0.00196883885976609,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,MOHEFT,high,100.0,64,12,Montage-05d,27.073424279969185,2.0698991578456054,112.18081346153842,1.3178360860111071,1180.3964448665024,4.11555702533699,392.4928736363728,3.461954821718917,666.9461027860732,6.835398992663781,0.4349788176309796,0.0057585528399715135,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,MOHEFT,low,20.0,16,6,Montage-05d,5.386469059949741,5.196417792599902,112.58317403846154,1.5332355629272452,1166.1962385771408,7.013746794902834,390.832374375732,2.365919315222509,665.0451248937267,4.74271775306063,0.42971314855877873,0.005565766710967787,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,MOHEFT,medium,50.0,32,8,Montage-05d,15.537437260011211,15.23346317805938,112.67577923076911,1.6035055330459163,1167.9924415346923,5.064931833064462,390.9054526769314,2.8785164475930682,665.0116612003822,5.644297277057239,0.43063151108001196,0.0050127786069231114,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,MOHEFT,very_high,200.0,128,20,Montage-05d,72.14578716000543,1.6979910829219458,112.22818596153843,1.3254686270877984,1180.37930494685,4.279990226851618,392.5778611227332,3.3833502717855244,667.1177917507598,6.715416646716258,0.43482315757967305,0.0058787772238274505,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,MOHEFT,very_low,5.0,8,4,Montage-05d,1.882274160021916,1.7393052487326521,114.02047076923054,1.41098358727335,1134.5430461359651,4.370565184082834,390.36726531723457,1.8694417820355453,667.2802260208666,3.820495211076411,0.4118416371306906,0.0044845461842641186,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,ECDS,ecds_ref,0.0,0,0,Seismology-200p,0.03723689992912106,0.0005777199444429374,100.14362564102564,0.1254628487547376,35.481815339205205,1.0882379410206917,13.873248198282866,0.09425038033574583,24.198314862645187,0.20212228649727232,0.31745560639514714,0.0230810014082184,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,MOHEFT,high,100.0,64,12,Seismology-200p,0.8692373200319707,0.04681678357958691,100.11436923076921,0.057624617982531254,30.5212282255065,0.07331114391121861,13.76107992428735,0.041416788356059504,24.47003702602404,0.07666101979303297,0.19826201907897392,0.0014156917084964947,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,MOHEFT,low,20.0,16,6,Seismology-200p,0.2885741000529378,0.00259384846710999,100.1109923076923,0.0575608592256337,30.847600362327018,0.04896324736030306,13.768126240668597,0.011066071789750373,24.451492445104467,0.02484818467703987,0.20734316252830545,0.001868245261218832,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,MOHEFT,medium,50.0,32,8,Seismology-200p,0.631492399983108,0.010207127090118428,100.10842249999999,0.05985505955557056,30.503049129064202,0.04626950031114447,13.71493225479504,0.02312274295147471,24.37955959668365,0.043683948402243135,0.20074950610977785,0.0013143011399867155,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,MOHEFT,very_high,200.0,128,20,Seismology-200p,0.8760061400011182,0.05230702596475174,100.11436923076921,0.057624617982531254,30.5190289750033,0.07351577272440611,13.76009322408711,0.03976472325462473,24.46828355067388,0.07344719303229016,0.19826144427418246,0.0014054079984117136,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,MOHEFT,very_low,5.0,8,4,Seismology-200p,0.12525063995271918,0.0034556839636495796,100.09660923076923,0.04537495053544594,31.25073523832383,0.07054502605552622,13.833505567901375,0.014796844167578314,24.54193761197036,0.034535733298676825,0.21467176742411623,0.0027047362155322137,5
